# Ammonia liquid density, Lange's Handbook of Chemistry, 10th ed. page 1451 and 1468.
temperature (C), density (g/cm3)
-75 ,  	0.73094
-70 , 	0.72527
-65 , 	0.71953
-60 , 	0.71378
-55 , 	0.70791
-50 , 	0.70200
-45 , 	0.69604
-40 , 	0.68999
-35 , 	0.68385
-30 , 	0.67764
-25 , 	0.67137
-20 , 	0.66503
-15 , 	0.65854
-10 , 	0.65198
-5  , 	0.64533
 0   , 	0.63857
 5   , 	0.63167
 10  , 	0.62469
 15  , 	0.61755
 20  , 	0.61028
 25 , 	0.60285
 30 , 	0.59524
 35 , 	0.58816
 40 , 	0.57948
 45 , 	0.57130
 50 , 	0.56287
 55 , 	0.55420
 60 , 	0.54523
 65 , 	0.53596
 70 , 	0.52632
 75 , 	0.51626
 80 , 	0.50571
 85 , 	0.49463
 90 , 	0.48290
 95 , 	0.47041
100 , 	0.45693
